Month of Date,TSI_FREIGHT,GDP
Jan-00,102.666667,98.45651769
Apr-00,98.8,100.2490003
Jul-00,99,100.3490229
Oct-00,99.5333333,100.9454591
Jan-01,99.4333333,100.6181727
Apr-01,98.7,101.2434032
Jul-01,98.4,100.8380762
Oct-01,98.2333333,101.1177147
Jan-02,99.2333333,101.9551991
Apr-02,100.8,102.5827359
Jul-02,102.833333,102.9966867
Oct-02,104.866667,103.1312578
Jan-03,103.766667,103.6641609
Apr-03,103.3,104.5902735
Jul-03,104.4,106.3336849
Oct-03,107.266667,107.5608242
Jan-04,108.766667,108.1770579
Apr-04,110.8,109.0194746
Jul-04,110.733333,110.0456174
Oct-04,111.833333,111.1703137
Jan-05,113.333333,112.4052853
Apr-05,112.533333,112.9522544
Jul-05,112.1,113.8396322
Oct-05,112.633333,114.4861596
Jan-06,112.266667,116.0301956
Apr-06,112.833333,116.3151469
Jul-06,111.6,116.4901502
Oct-06,110.166667,117.4729913
Jan-07,110.966667,117.8178906
Apr-07,110.233333,118.5700807
Jul-07,109.366667,119.2842362
Oct-07,110.866667,120.0114454
Jan-08,111.6,119.5224834
Apr-08,111.133333,120.206505
Jul-08,109.266667,119.5731455
Oct-08,104.133333,116.9627475
Jan-09,98.7,115.5992864
Apr-09,95.5333333,115.4036484
Jul-09,99.1,115.8213288
Oct-09,100.6,117.0582565
Jan-10,104.766667,117.6436104
Apr-10,106.533333,118.7820531
Jul-10,107.133333,119.7004095
Oct-10,108.166667,120.3223671
Jan-11,110.333333,120.0324912
Apr-11,109.966667,120.8463724
Jul-11,110.933333,120.7995237
Oct-11,112.9,122.1545056
Jan-12,111.766667,123.1536352
Apr-12,113,123.7150433
Jul-12,112.866667,123.9313999
Oct-12,111.666667,124.0675237
Jan-13,115.433333,125.1441687
Apr-13,115.833333,125.3186012
Jul-13,116.5,126.3106902
Oct-13,117.8,127.2089752
Jan-14,118.166667,126.7636042
Apr-14,120.5,128.3914123
Jul-14,121.066667,129.887123
Oct-14,123.066667,130.4703076
Jan-15,122.8,131.5314404
Apr-15,121.966667,132.2943246
Jul-15,123.266667,132.7221283
Oct-15,121.6,132.9162136
Jan-16,121.666667,133.6993292
Apr-16,122.933333,134.103621
Jul-16,124,134.9097385
Oct-16,123.9,135.5800899
Jan-17,124.7,136.2199344
Apr-17,125.9,136.9824457
Jul-17,129.033333,137.9675549
Oct-17,132.033333,139.2650016
Jan-18,133.866667,140.3273903
Apr-18,136.3,141.4975957
Jul-18,137.1,142.179547
Oct-18,138.9,142.496809
Jan-19,138.3,143.3486411
Apr-19,139.033333,144.4852875
Jul-19,140.3,145.4757324
Oct-19,137.933333,146.1581556
Jan-20,136.233333,144.2528631
Apr-20,127.1,131.3606234
Jul-20,133.166667,141.2751119
Oct-20,133.966667,142.8507204
Jan-21,135.6,145.0418928
Apr-21,136.733333,147.4216626
Jul-21,134.866667,148.2633638
Oct-21,137.033333,150.7553422
Jan-22,139.933333,150.1588147
Apr-22,140,149.942245
Jul-22,139.6,